snagid,site,plotid,group,crown,xc,yc,z_m,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum
BR221X_GF01,cda,BR221X,LB,NO,525707.2644,5301023.795,1026.65,GF,0.54,4.79,BT,SOME,N,N,N,Y,Y,0
BR221X_GF02,cda,BR221X,LI,YES,525702.2404,5301026.662,1002.34,GF,0.48,36.21,INTACT,SOME,M,N,S,Y,Y,0
BR222A_UN02,cda,BR222A,LB,NO,553655.4585,5276098.883,686.24,UN,0.41,7.33,BT,NONE,N,Y,S,Y,Y,0
BR222A_WH01,cda,BR222A,SB,NO,553651.9323,5276082.067,690.39,WH,0.3,7.1,BT,SOME,N,N,S,Y,Y,1
BR222A_WP01,cda,BR222A,SI,YES,553662.6832,5276097.505,694.23,WP,0.37,22.3,INTACT,SOME,M,N,S,Y,Y,0
BR222B_GF01,cda,BR222B,LI,YES,537053.0291,5292580.133,900.09,GF,0.44,23.68,INTACT,FULL,V,Y,H,UNK,Y,0
BR222B_GF02,cda,BR222B,LB,YES,537046.0374,5292607.542,948.53,GF,0.44,11.25,BT,SOME,M,N,N,Y,Y,0
BR222X_RC01,cda,BR222X,LB,NO,540019.1227,5289510.105,834.33,RC,1.33,2.62,BT,NONE,N,N,N,Unk,Y,0
BR222X_UN01,cda,BR222X,LB,NO,540018.2345,5289486.758,829.51,UN,0.64,20.42,BT,FULL,N,Y,N,Y,Y,0
BR222X_UN02,cda,BR222X,LB,NO,540014.4017,5289488.288,837.16,UN,0.59,12.1,BT,SOME,N,Y,N,Y,Y,1
BR222X_WH02,cda,BR222X,LB,NO,540021.9584,5289468.445,856.84,WH,0.43,NA,BT,SOME,N,N,S,N,Y,0
BR222X_WH03,cda,BR222X,LB,NO,540019.6123,5289504.329,841.81,WH,0.43,NA,BT,SOME,C,Y,N,Y,Y,0
BR222X_WH04,cda,BR222X,SB,NO,540004.7874,5289491.334,835.66,WH,0.39,7.59,BT,SOME,N,Y,N,N,Y,0
BR222X_WH05,cda,BR222X,LB,NO,540006.4536,5289499.681,833.44,WH,0.45,18.07,BT,SOME,C,Y,N,N,Y,0
BR22X2_DF01,cda,BR22X2,LI,NO,533459.145,5281618.242,919.82,DF,0.43,26,INTACT,SOME,C,Y,N,Y,Y,0
BR22X2_DF02,cda,BR22X2,LB,NO,533446.5494,5281642.177,924.3,DF,0.67,8.32,BT,FULL,C,Y,N,Y,Y,6
BR22X2_DF03,cda,BR22X2,LB,NO,533464.1758,5281630.831,925.61,DF,0.52,3.17,BT,FULL,N,Y,N,Y,Y,1
